gene_symbol	B.fo.Sp#1.1	B.fo.Sp#1.10	B.fo.Sp#1.11	B.fo.Sp#1.12	B.fo.Sp#1.13	B.fo.Sp#1.14	B.fo.Sp#1.15	B.fo.Sp#1.16	B.fo.Sp#1.2	B.fo.Sp#1.3	B.fo.Sp#1.4	B.fo.Sp#1.5	B.fo.Sp#1.6	B.fo.Sp#1.8	B.fo.Sp#1.9	MF.PC#1.1	MF.PC#1.10	MF.PC#1.11	MF.PC#1.12	MF.PC#1.13	MF.PC#1.14	MF.PC#1.15	MF.PC#1.16	MF.PC#1.2	MF.PC#1.3	MF.PC#1.4	MF.PC#1.5	MF.PC#1.6	MF.PC#1.7	MF.PC#1.8	MF.PC#1.9	MF.PC#2.1	MF.PC#2.2	MF.PC#2.3	MF.PC#2.4	MF.PC#2.5	MF.PC#2.6	MF.PC#2.7	MF.PC#2.8	NK.Sp#1.1	NK.Sp#1.10	NK.Sp#1.11	NK.Sp#1.12	NK.Sp#1.13	NK.Sp#1.14	NK.Sp#1.15	NK.Sp#1.16	NK.Sp#1.17	NK.Sp#1.18	NK.Sp#1.2	NK.Sp#1.3	NK.Sp#1.4	NK.Sp#1.5	NK.Sp#1.6	NK.Sp#1.7	NK.Sp#1.8	NK.Sp#1.9	T.4.Nve.#2.1	T.4.Nve.#2.2	T.4.Nve.Sp#1.1	T.4.Nve.Sp#1.10	T.4.Nve.Sp#1.11	T.4.Nve.Sp#1.12	T.4.Nve.Sp#1.13	T.4.Nve.Sp#1.14	T.4.Nve.Sp#1.15	T.4.Nve.Sp#1.16	T.4.Nve.Sp#1.2	T.4.Nve.Sp#1.3	T.4.Nve.Sp#1.4	T.4.Nve.Sp#1.5	T.4.Nve.Sp#1.6	T.4.Nve.Sp#1.7	T.4.Nve.Sp#1.8	T.4.Nve.Sp#1.9	Tgd.Sp#1.1	Tgd.Sp#1.2	Tgd.Sp#1.3	Tgd.Sp#1.4	Tgd.Sp#1.5	Tgd.Sp#1.6	Tgd.Sp#1.7	Tgd.Sp#1.8
Tagap	127.9503025	125.9280789	106.4639433	132.2150081	140.8556657	115.8847303	102.4601887	128.3314289	97.70133514	138.2324277	137.7536179	100.2926541	169.8145613	119.9012788	113.8217488	54.63609673	46.97107839	68.61986674	56.46848922	63.03716695	48.81285229	69.52747227	66.99400813	61.69991432	52.04387436	68.84421528	59.55554452	69.12696732	66.01866799	46.04854328	57.893692	53.40550991	51.46796055	45.99297026	48.77925654	52.52514162	63.58545247	36.40828336	42.32597204	126.2237504	110.351075	116.2748555	116.2774364	137.7913096	107.0434361	140.0719448	157.2375837	292.8802539	62.28342113	132.5586862	159.3020502	127.864469	115.5131207	110.5332422	141.7553858	95.48186665	127.9657162	228.0224919	231.7556922	170.1573368	155.8260802	151.717914	145.1547179	122.8459402	209.8739621	184.9489621	187.8299657	136.932962	140.4158573	182.2923313	170.2508075	164.7709789	172.2272864	150.1412574	146.9252006	250.0657689	299.0558865	248.4248491	224.4195566	258.2426433	252.2818052	266.2532177	80.51651169
Tagln2	343.8657777	296.0682244	371.4421009	364.873552	312.920515	317.9967559	312.4264126	249.6471997	271.3690391	384.8219463	286.0965255	313.7718603	372.8482905	291.3694388	287.0130297	4486.850693	4427.631756	4438.05655	4702.614801	4260.172393	4571.908679	4677.232884	4754.30527	4592.274075	4487.670041	4483.241156	4360.235076	4711.356093	4432.94413	4923.804702	4365.558943	4519.650371	4700.457739	4868.421329	4986.581653	4861.538359	4791.559887	4592.274075	4682.989538	1111.15671	1121.848518	1223.175457	1097.971274	1147.167183	1149.16814	1256.583501	1234.215103	988.2420353	4071.970118	1150.938151	1146.67755	1018.673675	1255.49767	1078.837529	1147.37442	1178.389415	1054.021909	534.7019984	489.9345246	628.0970885	584.2982556	555.7508763	566.6980595	634.8727004	630.4831735	606.5664946	616.1718382	620.0328413	641.0029958	572.51302	670.8661478	561.1711893	662.55997	625.7245676	619.4448976	1000.933518	951.874348	920.8307213	954.690599	952.5595927	905.0312527	895.2041461	901.16769
Taldo1	349.8634298	341.2802911	321.3467278	307.5359013	362.9295106	298.8493009	356.1106605	322.837706	302.9449852	348.3695827	283.7786676	355.4747751	238.252897	266.3375906	302.8476611	1127.358031	1098.559496	1091.867556	1118.293854	1066.327901	1075.195415	1068.80121	1129.844876	1101.185947	1094.550122	1219.482106	1049.594674	1172.591931	1132.518909	1009.58683	1151.878112	1125.657572	956.9225469	819.0540048	826.1110071	859.7523603	943.7428917	864.2876704	974.1861259	300.413198	272.2747821	370.8401615	304.9799915	314.1801035	268.0158464	324.4078716	303.6155141	253.0784011	844.3766051	351.0229279	376.6319835	280.2397279	292.4294588	262.6627452	287.9845922	240.8385846	258.8991111	306.8829364	288.6085439	282.3058475	225.4378061	288.8167394	271.8361366	221.4179368	250.8857446	287.5045781	259.9797492	287.5349487	269.5392687	276.2548201	253.8566281	240.1428499	260.0646605	220.0186297	274.3202169	287.2945469	275.5433572	283.0386881	309.7383516	292.184381	255.6840734	279.2424216	992.9175112
Tanc1	13.99491286	12.89791227	8.909795749	3.205294254	7.780880761	1	1	2.002609676	6.920489906	3.144256683	12.58928965	8.943412326	3.281277856	11.01273927	14.85530248	18.87869891	21.11234679	19.8937863	8.924069889	26.67055184	32.87523486	19.41036568	35.73368849	18.70414168	35.60601651	26.32850704	15.4136725	35.54325104	24.29026913	23.52427164	18.88087463	68.71498471	23.26527671	33.72216019	17.53897342	19.60630114	31.89661578	24.60552224	26.93002167	143.0807937	146.1004648	107.5419119	172.8147778	162.2697544	169.6014344	179.4319291	129.1754935	177.3768379	32.12808692	162.32744	212.9637621	129.9329114	112.29646	160.7359782	148.7931551	181.2423302	143.8364307	173.8557219	112.6991321	124.3633617	196.632954	140.8226431	176.8250726	165.286661	162.1858429	149.1358898	227.3224788	140.8447019	167.5504872	119.2821918	163.1137253	165.7014959	141.0950525	167.8713369	143.450791	205.496105	171.1200652	163.8132426	468.8072916	199.2912042	245.4772689	249.8458021	73.38041449
Tank	356.8606905	310.3457191	294.980742	302.0226657	297.6635333	276.5106033	328.6318594	327.8507544	322.6799516	339.792556	246.6929407	279.0194314	308.9725106	376.4777226	359.2585355	144.0295913	148.4905432	174.0273061	164.764111	149.318744	109.3757985	152.3741178	167.7217048	152.7497858	115.1998545	157.4939899	137.9298887	131.4967261	139.7711869	133.642933	132.6682586	156.4500519	162.7943441	146.2045859	168.2273979	152.712917	145.184207	102.1665239	139.5635533	126.2237504	113.5054329	71.30019598	127.2912042	60.03624939	115.4353627	92.83996352	102.6302729	130.5511287	188.7412743	109.0317679	94.90799587	117.5222568	114.8697885	91.51705429	107.3485137	91.12116511	119.2368232	162.7037398	184.9356967	152.4004893	159.4266867	152.6258533	135.3259871	192.6677712	153.6019815	151.5776902	201.500451	178.0062311	181.5856406	187.8195365	172.2899739	147.0911573	171.1154209	165.7854452	171.2460673	118.9785221	122.0203716	124.0714275	112.348258	101.0388057	120.5654237	128.1574703	503.5851316
Taok2	242.9053009	330.57217	366.1689037	336.2047267	362.9295106	319.0605034	338.4960444	365.9499221	413.4607968	318.3499892	346.3608317	290.9345499	409.3487362	355.2006517	302.8476611	253.004518	272.9955471	248.6080415	236.08074	224.1911868	307.0022546	236.2435615	277.1328235	226.93857	212.9618511	237.0978692	302.7862679	253.3576395	292.1283641	308.8317124	303.3493346	221.8097328	272.6363759	197.3329612	181.0910439	218.5505979	282.2384257	262.3468533	217.3536183	329.3109866	313.2814352	317.5692055	307.9169963	384.735621	338.9657713	326.3758708	330.1607347	359.9971038	240.2971682	365.9073048	306.871758	375.3880796	351.6160156	423.9200184	358.3622851	370.2060635	334.2850051	285.3755424	283.2576872	340.2492446	339.4570125	295.1723141	353.7422263	319.9899334	380.5974289	291.5742454	303.2696193	274.821794	396.7913263	394.5370118	282.4049571	335.9860933	325.6647248	312.8408109	417.9291445	296.7328287	284.5334419	342.6514108	484.7141856	354.7086346	320.8132066	367.4322801	245.6661898
Taok3	432.8309503	371.0250717	487.4524385	465.2144405	499.3947359	416.9252737	405.4315856	420.0908446	387.8053405	434.1398501	422.8501434	441.8593841	436.7240705	425.2898266	403.7934363	574.8210983	686.7352526	697.0868635	656.0564441	663.4428517	832.9436298	684.2291265	607.1028642	667.8560032	746.7596559	614.3117062	753.2135334	708.1771115	619.1625598	509.0474603	672.3455656	528.5880548	689.7392264	684.075094	793.0330603	662.2393174	626.0623038	675.4434925	595.7698721	407.9771888	462.5877106	450.3099482	429.8026933	423.6131511	406.1011841	454.29582	440.1337912	327.9995358	537.9594994	434.5674951	470.5399793	463.6416232	457.1224863	428.4839035	388.077311	493.7592738	375.5488628	367.4222676	352.1499663	455.201468	345.4580233	396.8615091	335.176846	366.5378207	345.3082207	356.6889222	369.3436315	380.4387716	305.0949907	368.0064267	361.9324449	429.0377859	341.2308417	330.5708904	383.1850491	298.8302247	332.2500456	325.3444913	264.9098322	329.6989331	366.0147692	352.3921492	702.3764108
Tap1	986.6141597	750.5684733	793.2978742	821.3694626	861.3242466	844.5517699	778.8614468	887.3069537	752.9022181	802.9519996	851.6538606	945.2731403	851.9166403	967.2293395	1002.540436	217.2471201	206.9121219	234.6863042	246.6461666	253.4270931	262.3769258	211.6964073	212.0071576	242.1135486	143.7498181	222.6244366	189.278597	227.4502012	209.6419943	181.1941731	261.8982162	253.0175083	174.6691584	191.1975561	234.3832915	172.7504721	215.6918686	213.4497001	191.4235967	628.7241846	704.4218187	657.2807116	610.4284854	628.0801612	548.7639363	618.9517546	729.8559125	811.0847689	266.5614916	610.2991708	642.2574575	631.1854599	551.0489785	593.5444142	659.422416	671.0944696	623.9255452	1069.997137	954.1213372	995.3834608	1034.37407	876.2534284	853.915414	822.433305	880.3689182	974.4644187	894.1383725	947.6410591	981.5893853	953.8901803	941.0556899	983.6258736	971.6585779	967.8108082	980.7834895	852.542755	906.9239242	759.2994726	508.5745265	937.6728656	816.5722807	816.58528	1892.065759
Tap2	375.8532555	347.2292472	288.3892455	309.7411956	320.5490059	316.9330084	275.7880111	353.918606	383.8583473	371.9564062	355.6322634	341.5738035	352.3167898	321.4076566	254.3541025	192.5574883	161.8987744	172.0384865	196.4603906	185.6853591	176.3137917	153.3969159	218.9538953	183.099743	203.4451966	159.303169	204.593124	190.0283459	183.4404415	186.1995668	182.2470474	166.4600931	165.7630477	172.791341	171.9027253	189.9255193	176.8730437	171.2969819	135.5119874	370.2495204	388.9860256	431.0974723	401.166897	432.2526022	427.4624518	466.759815	470.4711861	490.328661	201.3870596	400.9576117	398.0966682	400.8988695	394.0759367	388.9302327	399.8069265	406.545243	389.0389702	519.5671656	450.4719569	573.8919751	464.2780384	490.3792509	454.2136963	458.2645398	437.8231719	414.4781979	472.6317426	494.8571641	484.7449544	521.6627319	413.931187	501.6181061	447.9699293	464.0679599	500.1568368	494.9367458	456.728142	533.6685222	520.8662174	518.4626321	420.4510597	520.5681583	611.6460321
Tapbp	987.6137684	988.5267188	950.1754898	1007.716827	972.361169	989.2214304	904.2775134	935.4322181	983.8013244	1066.695572	1041.718211	1043.572868	1050.387814	986.0032257	1057.961646	1526.648974	1501.764163	1490.625888	1432.615293	1536.954685	1588.386696	1451.327697	1570.094378	1558.121413	1704.481163	1548.752698	1473.897158	1595.746756	1583.767873	1547.666653	1596.461677	1141.555873	1586.287702	1510.309639	1507.884245	1565.36055	1373.126629	1592.686642	1414.186181	1084.667071	1244.868478	1320.984425	1114.1248	1282.518584	1187.31326	1257.895501	1191.74275	1086.576025	1624.524284	1186.948741	1165.459149	1006.26302	1198.884442	1083.401414	1121.569266	1178.389415	1142.89791	979.9847105	871.1830594	868.2818154	917.9544593	809.9738638	798.2192731	1034.636909	892.7678292	871.9088027	948.8203137	797.0390724	809.4248368	862.1385736	839.0973721	828.229547	793.7600985	908.3628945	950.6719402	1318.689005	1103.322699	1105.437863	1124.605149	1234.811937	1112.56961	1131.744387	2032.748818
Tapbpl	139.9456067	197.3155525	144.6946228	175.2182461	173.9124594	140.3509229	183.4874228	168.4358159	176.6412006	187.5503315	153.9786234	158.87532	153.8456164	171.2165676	146.480676	110.8262933	105.3926572	107.4018491	85.52341215	97.26456941	169.9387447	163.6248969	136.4613851	141.7900791	114.3347041	130.3563038	151.4427067	128.6181219	128.1260523	153.6645078	132.6682586	106.9886717	110.8420318	135.9789108	114.9351502	114.0690608	123.0020213	108.9109588	124.9779161	358.2087751	377.4200465	391.3625789	330.6787831	363.8569475	333.6254544	377.5438504	403.7289173	436.4790954	139.1308857	334.2179862	355.1672987	300.9241522	354.8326762	325.7964889	388.8592854	373.1131979	327.1431835	255.1058769	230.417978	231.8390177	212.2355823	250.6832913	319.8877092	236.4775474	258.5158437	230.5292359	225.8035359	218.1015652	229.3051622	205.5065932	232.4453814	245.7259515	184.4578068	247.1352219	254.6318962	525.8733361	460.8774119	449.6979128	541.8343958	472.0160437	469.5409288	462.4585616	396.5436735
